Shuffle 1,,,Shuffle 2,,,Shuffle 3,,,Shuffle 4,,
Title,Artist,Genre,Title,Artist,Genre,Title,Artist,Genre,Title,Artist,Genre
Batter Up,BABYMONSTER,K-pop Girl Crush,All Of Me,John Legend,Pop Soul,Above All,Micheal W. Smith,Christian Worship,Young and Beautiful,Lana Del Rey,Dream Pop
Pretty Savage,BLACKPINK,K-pop Hip-Hop,All I Want,Kodaline,Indie Pop,Oceans (Where Feet May Fail),Hillsong UNITED,Christian Worship,Liability,Lorde,Indie Pop
Dalla Dalla,ITZY,K-pop Girl Crush,Say You Won't Let Go,James Arthur,Pop,Here I Am to Worship,Tim Hughes,Christian Worship,Stay,Rihanna,Pop Ballad
Antifragile,LE SSERAFIM,K-pop Latin Fusion,Photograph,Ed Sheeran,Pop,What a Beautiful Name,Hillsong Worship,Christian Worship,Skinny Love,Birdy,Indie Folk
Super Lady,(G)I-DLE,K-pop Pop EDM,Stay With Me,Sam Smith,Soul,10.000 Reasons (Bless the Lord),Matt Redman,Christian Worship,Nightcall,Kavinsky,Synthwave
Typa Girl,BLACKPINK,K-pop Trap,When I Was Your Man,Bruno Mars,Pop,I Can Only Imagine,MercyMe,Christian Worship,Retrograde,James Blake,Electronic Soul
Next Level,AESPA,K-pop EDM,Skinny Love,Birdy,Indie Folk,Lead Me to the Cross,Hillsong UNITED,Christian Worship,Youth,Daughter,Indie Folk
Adios,EVERGLOW,K-pop Girl Crush,A Thousand Years,Christina Perri,Pop,How Great Is Our God,Chris Tomlin,Christian Worship,Holocene,Bon Iver,Indie Folk
Stamp On It,Got The Beat,K-pop EDM,Let Her Go,Passenger,Folk Pop,Amazing Grace (My Chains Are Gone),Chris Tomlin,Christian Worship,Nude,Radiohead,Art Rock
Bon Bon Chocolat,EVERGLOW,K-pop EDM,Jealous,Labrinth,R&B,Who You Say I Am,Hillsong Worship,Christian Worship,Love in the Dark,Adele,Pop Ballad
Kill This Love,BLACKPINK,K-pop Girl Crush,Fix You,Coldplay,Soft Rock,Cornerstone,Hillsong Worship,Christian Worship,Blue Jeans,Lana Del Rey,Dream Pop
Tomboy,(G)I-DLE,K-pop Rock,I Won't Give Up,Jason Mraz,Soft Rock,Revelation Song,Kari Jobe,Christian Worship,Motion Sickness,Phoebe Bridgers,Indie Rock
Mafia In The Morning,ITZY,K-pop Hip-Hop,Turning Page,Sleeping At Last,Indie,The Heart of Worship,Matt Redman,Christian Worship,Say You Won't Let Go,James Arthur,Pop
Spicy,AESPA,K-pop Dance Pop,Tenerife Sea,Ed Sheeran,Pop,Lord I Need You,Matt Maher,Christian Worship,Photograph,Ed Sheeran,Pop
PTT (Paint The Town),LOONA,K-pop Bollywood Fusion,Falling Like The Stars,James Arthur,Pop,Great Are You Lord,All Sons & Daughters,Christian Worship,Stay With Me,Sam Smith,Soul
Step Back,Got The Beat,K-pop Hip-Hop,You Are The Reason,Calum Scott,Pop,Holy Spirit,Francesca Battistelli,Christian Worship,When I Was Your Man,Bruno Mars,Pop
Pink Venom,BLACKPINK,K-pop Hip-Hop,All For You,Cian Ducrot,Pop,Ever Be,Bethel Music,Christian Worship,Skinny Love,Birdy,Indie Folk
You Think,Girls’ Generation,K-pop Pop,Someone Like You,Adele,Pop Soul,Build My Life,Pat Barrett,Christian Worship,Oblivion,Grimes,Synth Pop
Black Mamba,AESPA,K-pop Dance,Easy On Me,Adele,Pop Soul,Spirit Lead Me (Where My Trust Is Without Borders),Influence Music,Christian Worship,Garden Song,Phoebe Bridgers,Indie Folk
La Di Da,EVERGLOW,Synthwave K-pop,If I Ain't Got You,Alicia Keys,R&B,Open the Eyes of My Heart,Paul Baloche,Christian Worship,Moon Song,Phoebe Bridgers,Indie Folk
